"geneA","geneB","connA","connB","physical.conn"
"Q0020","YDL160C","2","62","11.136"
"Q0020","YPR042C","2","39","8.832"
"Q0045","Q0085","34","21","26.721"
"Q0045","Q0105","34","24","28.566"
"Q0045","Q0140","34","14","21.817"
"Q0045","Q0250","34","40","36.878"
"Q0045","Q0275","34","21","26.721"
"Q0045","YBL045C","34","37","35.468"
"Q0045","YBR255C-A","34","11","19.339"
"Q0045","YDR119W-A","34","12","20.199"
"Q0045","YDR231C","34","30","31.937"
"Q0045","YER154W","34","15","22.583"
"Q0045","YGL187C","34","46","39.547"
"Q0045","YGL191W","34","14","21.817"
"Q0045","YGR033C","34","11","19.339"
"Q0045","YGR112W","34","18","24.739"
"Q0045","YGR222W","34","9","17.493"
"Q0045","YHR051W","34","19","25.417"
"Q0045","YIL111W","34","10","18.439"
"Q0045","YIL157C","34","10","18.439"
"Q0045","YJL062W-A","34","15","22.583"
"Q0045","YJR045C","34","50","41.231"
"Q0045","YKR016W","34","56","43.635"
"Q0045","YLR067C","34","4","11.662"
"Q0045","YLR203C","34","19","25.417"
"Q0045","YLR395C","34","8","16.492"
"Q0045","YML030W","34","19","25.417"
"Q0045","YML129C","34","20","26.077"
"Q0045","YMR256C","34","8","16.492"
"Q0045","YNL052W","34","19","25.417"
"Q0045","YNR017W","34","15","22.583"
"Q0045","YNR018W","34","19","25.417"
"Q0045","YOL027C","34","15","22.583"
"Q0045","YPL172C","34","3","10.1"
"Q0045","YPR042C","34","39","36.414"
"Q0045","YPR191W","34","21","26.721"
"Q0050","YBR009C","7","9","7.937"
"Q0050","YER142C","7","2","3.742"
"Q0050","YGL122C","7","51","18.894"
"Q0050","YJR045C","7","50","18.708"
"Q0050","YKR016W","7","56","19.799"
"Q0050","YNL030W","7","7","7"
"Q0050","YPR140W","7","4","5.292"
"Q0055","YGL187C","3","46","11.747"
"Q0055","YKR016W","3","56","12.961"
"Q0055","YLR320W","3","11","5.745"
"Q0060","YGL187C","2","46","9.592"
"Q0060","YKR016W","2","56","10.583"
"Q0065","YGL187C","2","46","9.592"
"Q0065","YKR016W","2","56","10.583"
"Q0070","YGL187C","2","46","9.592"
"Q0070","YKR016W","2","56","10.583"
"Q0075","YGL122C","1","51","7.141"
"Q0080","Q0085","11","21","15.199"
"Q0080","YBL099W","11","16","13.266"
"Q0080","YDR377W","11","13","11.958"
"Q0080","YJR121W","11","19","14.457"
"Q0080","YKL016C","11","18","14.071"
"Q0080","YLR067C","11","4","6.633"
"Q0080","YLR203C","11","19","14.457"
"Q0080","YLR393W","11","5","7.416"
"Q0080","YNR019W","11","3","5.745"
"Q0080","YPL078C","11","18","14.071"
"Q0080","YPR042C","11","39","20.712"
"Q0085","Q0130","21","10","14.491"
"Q0085","Q0275","21","21","21"
"Q0085","YBL099W","21","16","18.33"
"Q0085","YBR039W","21","12","15.875"
"Q0085","YCR106W","21","1","4.583"
"Q0085","YDL004W","21","9","13.748"
"Q0085","YER154W","21","15","17.748"
"Q0085","YJR045C","21","50","32.404"
"Q0085","YJR121W","21","19","19.975"
"Q0085","YKL016C","21","18","19.442"
"Q0085","YLR067C","21","4","9.165"
"Q0085","YLR203C","21","19","19.975"
"Q0085","YLR295C","21","9","13.748"
"Q0085","YLR393W","21","5","10.247"
"Q0085","YML081C-A","21","8","12.961"
"Q0085","YML129C","21","20","20.494"
"Q0085","YOL027C","21","15","17.748"
"Q0085","YPL078C","21","18","19.442"
"Q0085","YPL271W","21","11","15.199"
"Q0105","Q0250","24","40","30.984"
"Q0105","YBL030C","24","20","21.909"
"Q0105","YBL045C","24","37","29.799"
"Q0105","YBR120C","24","8","13.856"
"Q0105","YDR231C","24","30","26.833"
"Q0105","YDR375C","24","5","10.954"
"Q0105","YDR529C","24","13","17.664"
"Q0105","YEL024W","24","20","21.909"
"Q0105","YER154W","24","15","18.974"
"Q0105","YGL187C","24","46","33.226"
"Q0105","YGR112W","24","18","20.785"
"Q0105","YGR174C","24","8","13.856"
"Q0105","YHL038C","24","3","8.485"
"Q0105","YJL166W","24","13","17.664"
"Q0105","YKR016W","24","56","36.661"
"Q0105","YLR203C","24","19","21.354"
"Q0105","YML030W","24","19","21.354"
"Q0105","YML129C","24","20","21.909"
"Q0105","YOL027C","24","15","18.974"
"Q0105","YOR065W","24","17","20.199"
"Q0105","YPL215W","24","10","15.492"
"Q0105","YPR042C","24","39","30.594"
"Q0105","YPR191W","24","21","22.45"
"Q0110","YDR231C","5","30","12.247"
"Q0110","YGL187C","5","46","15.166"
"Q0110","YGR037C","5","4","4.472"
"Q0110","YKR016W","5","56","16.733"
"Q0110","YPR042C","5","39","13.964"
"Q0115","YDR231C","5","30","12.247"
"Q0115","YGL122C","5","51","15.969"
"Q0115","YGL187C","5","46","15.166"
"Q0115","YIR021W","5","2","3.162"
"Q0115","YKR016W","5","56","16.733"
"Q0120","YDR231C","6","30","13.416"
"Q0120","YGL122C","6","51","17.493"
"Q0120","YGL187C","6","46","16.613"
"Q0120","YGR112W","6","18","10.392"
"Q0120","YKR016W","6","56","18.33"
"Q0120","YLR382C","6","2","3.464"
"Q0130","YBL099W","10","16","12.649"
"Q0130","YER154W","10","15","12.247"
"Q0130","YHR051W","10","19","13.784"
"Q0130","YJR045C","10","50","22.361"
"Q0130","YKL016C","10","18","13.416"
"Q0130","YLR203C","10","19","13.784"
"Q0130","YLR393W","10","5","7.071"
"Q0130","YOL027C","10","15","12.247"
"Q0130","YPL078C","10","18","13.416"
"Q0140","YDL156W","14","8","10.583"
"Q0140","YDR231C","14","30","20.494"
"Q0140","YER154W","14","15","14.491"
"Q0140","YGL122C","14","51","26.721"
"Q0140","YHL004W","14","7","9.899"
"Q0140","YJL014W","14","6","9.165"
"Q0140","YJR045C","14","50","26.458"
"Q0140","YKL155C","14","8","10.583"
"Q0140","YLR320W","14","11","12.41"
"Q0140","YNL155W","14","3","6.481"
"Q0140","YOL027C","14","15","14.491"
"Q0140","YPR042C","14","39","23.367"
"Q0140","YPR125W","14","9","11.225"
"Q0158","YGL064C","2","5","3.162"
"Q0158","YPR042C","2","39","8.832"
"Q0160","YBL075C","1","5","2.236"
"Q0250","Q0275","40","21","28.983"
"Q0250","YBL030C","40","20","28.284"
"Q0250","YBL045C","40","37","38.471"
"Q0250","YBR024W","40","6","15.492"
"Q0250","YBR037C","40","6","15.492"
"Q0250","YBR185C","40","8","17.889"
"Q0250","YBR255C-A","40","11","20.976"
"Q0250","YDL107W","40","7","16.733"
"Q0250","YDR119W-A","40","12","21.909"
"Q0250","YDR231C","40","30","34.641"
"Q0250","YER154W","40","15","24.495"
"Q0250","YGL187C","40","46","42.895"
"Q0250","YGR033C","40","11","20.976"
"Q0250","YGR062C","40","6","15.492"
"Q0250","YGR112W","40","18","26.833"
"Q0250","YGR132C","40","7","16.733"
"Q0250","YHR051W","40","19","27.568"
"Q0250","YHR076W","40","7","16.733"
"Q0250","YIL051C","40","5","14.142"
"Q0250","YIL157C","40","10","20"
"Q0250","YJL062W-A","40","15","24.495"
"Q0250","YJR045C","40","50","44.721"
"Q0250","YJR121W","40","19","27.568"
"Q0250","YKR016W","40","56","47.329"
"Q0250","YLR203C","40","19","27.568"
"Q0250","YLR395C","40","8","17.889"
"Q0250","YML030W","40","19","27.568"
"Q0250","YML129C","40","20","28.284"
"Q0250","YMR244C-A","40","5","14.142"
"Q0250","YNL026W","40","22","29.665"
"Q0250","YNL305C","40","7","16.733"
"Q0250","YNR017W","40","15","24.495"
"Q0250","YNR018W","40","19","27.568"
"Q0250","YOL027C","40","15","24.495"
"Q0250","YOR065W","40","17","26.077"
"Q0250","YOR090C","40","9","18.974"
"Q0250","YPR042C","40","39","39.497"
"Q0250","YPR191W","40","21","28.983"
"Q0255","YGL122C","2","51","10.1"
"Q0255","YJR045C","2","50","10"
"Q0275","YDL107W","21","7","12.124"
"Q0275","YDR231C","21","30","25.1"
"Q0275","YER154W","21","15","17.748"
"Q0275","YGL187C","21","46","31.081"
"Q0275","YGL191W","21","14","17.146"
"Q0275","YGR062C","21","6","11.225"
"Q0275","YGR222W","21","9","13.748"
"Q0275","YHR051W","21","19","19.975"
"Q0275","YJL062W-A","21","15","17.748"
"Q0275","YJR121W","21","19","19.975"
"Q0275","YLR203C","21","19","19.975"
"Q0275","YLR395C","21","8","12.961"
"Q0275","YML030W","21","19","19.975"
"Q0275","YML129C","21","20","20.494"
"Q0275","YMR256C","21","8","12.961"
"Q0275","YNR018W","21","19","19.975"
"Q0275","YOL027C","21","15","17.748"
"Q0275","YPR042C","21","39","28.618"
"YBL030C","YBR024W","20","6","10.954"
"YBL030C","YDL160C","20","62","35.214"
"YBL030C","YDR529C","20","13","16.125"
"YBL030C","YEL024W","20","20","20"
"YBL030C","YGL187C","20","46","30.332"
"YBL030C","YGL191W","20","14","16.733"
"YBL030C","YHR051W","20","19","19.494"
"YBL030C","YJR045C","20","50","31.623"
"YBL030C","YKR016W","20","56","33.466"
"YBL030C","YLR203C","20","19","19.494"
"YBL030C","YML030W","20","19","19.494"
"YBL030C","YNL026W","20","22","20.976"
"YBL030C","YNL052W","20","19","19.494"
"YBL030C","YNL305C","20","7","11.832"
"YBL030C","YNR017W","20","15","17.321"
"YBL030C","YOR065W","20","17","18.439"
"YBL030C","YPL078C","20","18","18.974"
"YBL030C","YPR191W","20","21","20.494"
"YBL045C","YBR255C-A","37","11","20.174"
"YBL045C","YDR119W-A","37","12","21.071"
"YBL045C","YDR377W","37","13","21.932"
"YBL045C","YDR529C","37","13","21.932"
"YBL045C","YEL024W","37","20","27.203"
"YBL045C","YGL122C","37","51","43.44"
"YBL045C","YGL187C","37","46","41.255"
"YBL045C","YGL191W","37","14","22.76"
"YBL045C","YGR033C","37","11","20.174"
"YBL045C","YGR112W","37","18","25.807"
"YBL045C","YGR174C","37","8","17.205"
"YBL045C","YGR222W","37","9","18.248"
"YBL045C","YHR051W","37","19","26.514"
"YBL045C","YHR076W","37","7","16.093"
"YBL045C","YIL111W","37","10","19.235"
"YBL045C","YJL062W-A","37","15","23.558"
"YBL045C","YJL166W","37","13","21.932"
"YBL045C","YJR045C","37","50","43.012"
"YBL045C","YKR016W","37","56","45.519"
"YBL045C","YLR320W","37","11","20.174"
"YBL045C","YLR395C","37","8","17.205"
"YBL045C","YML030W","37","19","26.514"
"YBL045C","YML129C","37","20","27.203"
"YBL045C","YMR256C","37","8","17.205"
"YBL045C","YNL026W","37","22","28.531"
"YBL045C","YNL052W","37","19","26.514"
"YBL045C","YNL305C","37","7","16.093"
"YBL045C","YNR017W","37","15","23.558"
"YBL045C","YNR018W","37","19","26.514"
"YBL045C","YOL027C","37","15","23.558"
"YBL045C","YOR065W","37","17","25.08"
"YBL045C","YPL215W","37","10","19.235"
"YBL045C","YPR125W","37","9","18.248"
"YBL045C","YPR191W","37","21","27.875"
"YBL075C","YDL160C","5","62","17.607"
"YBL075C","YGL122C","5","51","15.969"
"YBL075C","YLR320W","5","11","7.416"
"YBL075C","YNL305C","5","7","5.916"
"YBL099W","YBR039W","16","12","13.856"
"YBL099W","YDL160C","16","62","31.496"
"YBL099W","YDR231C","16","30","21.909"
"YBL099W","YJR045C","16","50","28.284"
"YBL099W","YJR121W","16","19","17.436"
"YBL099W","YKL016C","16","18","16.971"
"YBL099W","YKR016W","16","56","29.933"
"YBL099W","YLR295C","16","9","12"
"YBL099W","YML081C-A","16","8","11.314"
"YBL099W","YNL026W","16","22","18.762"
"YBL099W","YPL078C","16","18","16.971"
"YBL099W","YPL271W","16","11","13.266"
"YBL099W","YPR042C","16","39","24.98"
"YBR009C","YDL156W","9","8","8.485"
"YBR009C","YDL160C","9","62","23.622"
"YBR009C","YGL122C","9","51","21.424"
"YBR009C","YJL014W","9","6","7.348"
"YBR009C","YLR320W","9","11","9.95"
"YBR009C","YNL026W","9","22","14.071"
"YBR009C","YNL030W","9","7","7.937"
"YBR009C","YPR042C","9","39","18.735"
"YBR024W","YDR231C","6","30","13.416"
"YBR024W","YKR016W","6","56","18.33"
"YBR024W","YMR244C-A","6","5","5.477"
"YBR024W","YOR090C","6","9","7.348"
"YBR037C","YDL160C","6","62","19.287"
"YBR037C","YDR231C","6","30","13.416"
"YBR037C","YGL122C","6","51","17.493"
"YBR037C","YGL187C","6","46","16.613"
"YBR037C","YMR244C-A","6","5","5.477"
"YBR039W","YDL160C","12","62","27.276"
"YBR039W","YDR231C","12","30","18.974"
"YBR039W","YGL122C","12","51","24.739"
"YBR039W","YJR045C","12","50","24.495"
"YBR039W","YJR121W","12","19","15.1"
"YBR039W","YKL016C","12","18","14.697"
"YBR039W","YKR016W","12","56","25.923"
"YBR039W","YNL026W","12","22","16.248"
"YBR039W","YPL078C","12","18","14.697"
"YBR039W","YPL271W","12","11","11.489"
"YBR120C","YDL160C","8","62","22.271"
"YBR120C","YGL122C","8","51","20.199"
"YBR120C","YGL187C","8","46","19.183"
"YBR120C","YJR045C","8","50","20"
"YBR120C","YKR016W","8","56","21.166"
"YBR120C","YPL215W","8","10","8.944"
"YBR120C","YPR042C","8","39","17.664"
"YBR185C","YDL107W","8","7","7.483"
"YBR185C","YDL160C","8","62","22.271"
"YBR185C","YDR231C","8","30","15.492"
"YBR185C","YGL187C","8","46","19.183"
"YBR185C","YJR045C","8","50","20"
"YBR185C","YOL027C","8","15","10.954"
"YBR185C","YPR042C","8","39","17.664"
"YBR255C-A","YEL024W","11","20","14.832"
"YBR255C-A","YGL122C","11","51","23.685"
"YBR255C-A","YGL187C","11","46","22.494"
"YBR255C-A","YJL166W","11","13","11.958"
"YBR255C-A","YKR016W","11","56","24.819"
"YBR255C-A","YML030W","11","19","14.457"
"YBR255C-A","YNR018W","11","19","14.457"
"YBR255C-A","YOR065W","11","17","13.675"
"YDL004W","YDL160C","9","62","23.622"
"YDL004W","YDR231C","9","30","16.432"
"YDL004W","YGL122C","9","51","21.424"
"YDL004W","YJR045C","9","50","21.213"
"YDL004W","YJR121W","9","19","13.077"
"YDL004W","YKR016W","9","56","22.45"
"YDL004W","YLR320W","9","11","9.95"
"YDL004W","YPL078C","9","18","12.728"
"YDL107W","YDL160C","7","62","20.833"
"YDL107W","YDR231C","7","30","14.491"
"YDL107W","YGL122C","7","51","18.894"
"YDL107W","YGR062C","7","6","6.481"
"YDL156W","YDR529C","8","13","10.198"
"YDL156W","YJL014W","8","6","6.928"
"YDL156W","YJR045C","8","50","20"
"YDL156W","YNL030W","8","7","7.483"
"YDL156W","YPR042C","8","39","17.664"
"YDL156W","YPR125W","8","9","8.485"
"YDL160C","YDR375C","62","5","17.607"
